,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
1265,Memorandum on the Proposed Amendment to the 1958 Agreement Between the Government of the United States of America and the Government of the United Kingdom of Great Britain and Northern Ireland for Cooperation on the Uses of Atomic Energy for Mutual Defense Purposes,Memorandum for the Secretary of Defense and the Secretary of Energy,Proposed Amendment to the 1958 Agreement Between the Government of the United States of America and the Government of the United Kingdom of Great Britain and Northern Ireland for Cooperation on the Uses of Atomic Energy for Mutual Defense Purposes," Communications to Federal Agencies : Northern Ireland, nuclear energy cooperation with U.S., memorandum","United Kingdom : Northern Ireland :: Nuclear energy, cooperation with U.S.",Barack Obama,"July 18, 2014",,201400548
1266,Memorandum on Establishing a Comprehensive Approach to Expanding Sub-Saharan Africa's Capacity for Trade and Investment,Memorandum for the Heads of Executive Departments and Agencies,Establishing a Comprehensive Approach to Expanding Sub-Saharan Africa's Capacity for Trade and Investment," Communications to Federal Agencies : Sub-Saharan Africa, trade and investment promotion efforts, memorandum","Africa : Regional trade, promotion efforts; Africa : Trade with U.S.; Africa : Young African Leaders Initiative, White House; World Trade Organization.",Barack Obama,"August 4, 2014",,201400591
1267,Memorandum on Continuation of United States Drug Interdiction Assistance to the Government of Colombia,Memorandum for the Secretary of State and the Secretary of Defense,Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia," Communications to Federal Agencies : Colombia, U.S. drug interdiction assistance, memorandum","Colombia : Counternarcotics efforts, cooperation with U.S.; Colombia : U.S. assistance.",Barack Obama,"August 7, 2014",,201400601
1268,"Memorandum on the Drawdown Under Section 506(a)(1) of the Foreign Assistance Act of 1961 for France To Support Its Counterterrorism Efforts in Mali, Niger, and Chad",Memorandum for the Secretary of State and the Secretary of Defense,"Drawdown Under Section 506(a)(1) of the Foreign Assistance Act of 1961 for France to Support its Counterterrorism Efforts in Mali, Niger, and Chad"," Communications to Federal Agencies : France, counterterrorism efforts in Mali, Niger, and Chad, memorandum on drawdown of support funds under the Foreign Assistance Act of 1961","Chad : France, role; Mali : France, role; Niger : France, role; Terrorism : Counterterrorism efforts.",Barack Obama,"August 11, 2014",,201400607
1269,Memorandum on Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,Memorandum for the Secretary of State and the Secretary of the Treasury,Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,"Communications to Federal Agencies : Trading With the Enemy Act, continuation of certain authorities, memorandum","Commerce, international : Trading With the Enemy Act.",Barack Obama,"September 5, 2014","11:15 a.m., September 9, 2014",201400648
1270,Memorandum on Delegation of Authority Under Section 506(a)(1) of the Foreign Assistance Act of 1961,Memorandum for the Secretary of State,Delegation of Authority Under Section 506(a)(1) of the Foreign Assistance Act of 1961," Communications to Federal Agencies : Foreign Assistance Act of 1961, delegation of authority, memorandum","Foreign policy, U.S. : Foreign Assistance Act of 1961, delegation of authority; Iraq : Islamic State of Iraq and the Levant (ISIL) terrorist organization; Iraq : U.S. assistance.",Barack Obama,"September 10, 2014",,201400653
1271,Memorandum on Deepening United States Government Efforts To Collaborate With and Strengthen Civil Society,Memorandum for the Heads of Executive Departments and Agencies,Deepening U.S. Government Efforts to Collaborate with and Strengthen Civil Society,,"Foreign policy, U.S. : Civil society, strengthening efforts.",Barack Obama,"September 23, 2014","11:15 a.m., September 25, 2014.",201400696
1272,Memorandum on Delegation of Authority Under Sections 506(a)(1) and 552(c)(2) of the Foreign Assistance Act of 1961,Memorandum for the Secretary of State,Delegation of Authority Under Sections 506(a)(1) and 552(c)(2) of the Foreign Assistance Act of 1961,"Communications to Federal Agencies : Foreign Assistance Act of 1961, delegation of authority, memorandum","Foreign policy, U.S. : Foreign Assistance Act of 1961, delegation of authority; Ukraine : U.S. assistance.",Barack Obama,"September 24, 2014","11:15 a.m., October 2, 2014",201400704
1273,Memorandum on Deferred Enforced Departure for Liberians,Memorandum for the Secretary of Homeland Security,Deferred Enforced Departure for Liberians,,"Liberia : Liberian refugees in the U.S., status.",Barack Obama,"September 26, 2014",,201400715
1274,Memorandum on Certification Concerning United States Participation in the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic Consistent With Section 2005 of the American Servicemembers' Protection Act,Memorandum for the Secretary of State,Certification Concerning U.S. Participation in the United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic Consistent with Section 2005 of the American Servicemembers' Protection Act," Communications to Federal Agencies : Central African Republic, U.N. Multidimensional Integrated Stabilization Mission, memorandum concerning U.S. participation","Central African Republic : United Nations Multidimensional Integrated Stabilization Mission; Criminal Court, International; United Nations : Central African Republic, U.N. Multidimensional Integrated Stabilization Mission in.",Barack Obama,"September 26, 2014",,201400716
1275,Memorandum on Delegation of Authority Under Section 614 of the Foreign Assistance Act of 1961,Memorandum for the Secretary of State,Delegation of Authority under Section 614 of the Foreign Assistance Act of 1961," Communications to Federal Agencies : Foreign Assistance Act of 1961, delegation of authority, memorandum","Foreign Assistance Act of 1961, delegation of authority.",Barack Obama,"September 30, 2014",,201400730
1276,Memorandum on Provision of United States Drug Interdiction Assistance to the Government of Brazil,Memorandum for the Secretary of State and the Secretary of Defense,Provision of U.S. Drug Interdiction Assistance to the Government of Brazil,"Communications to Federal Agencies : Brazil, U.S. drug interdiction assistance, memorandum","Brazil : Counternarcotics efforts, cooperation with U.S.; Drug abuse and trafficking : Interdiction efforts.",Barack Obama,"October 9, 2014","11:15 a.m., October 17, 2014",201400757
1277,Memorandum on Providing an Order of Succession Within the Federal Mediation and Conciliation Service,Memorandum for the Director of the Federal Mediation and Conciliation Service,Providing an Order of Succession Within the Federal Mediation and Conciliation Service,"Communications to Federal Agencies : Federal Mediation and Conciliation Service, providing an order of succession, memorandum",Federal Mediation and Conciliation Service.,Barack Obama,"October 17, 2014","11:15 a.m., October 23, 2014",201400781
1278,Memorandum on Providing an Order of Succession Within the Social Security Administration,Memorandum for the Commissioner of the Social Security Administration,Providing an Order of Succession Within the Social Security Administration,"Communications to Federal Agencies : Social Security Administration, providing an order of succession, memorandum",Social Security Administration.,Barack Obama,"October 17, 2014","11:15 a.m., October 23, 2014",201400782
1279,Memorandum on Authorizing the Exercise of Authority Under Public Law 85–804,Memorandum for the Administrator of the United States Agency for International Development,Authorizing the Exercise of Authority Under Public Law 85–804,"Communications to Federal Agencies : Public Law 85–804, exercise of authority, memorandum authorizing","Africa : West Africa, Ebola epidemic, response and containment efforts; Development, U.S. Agency for International.",Barack Obama,"November 13, 2014","11:15 a.m., November 17, 2014",201400855
1280,Memorandum on Modernizing and Streamlining the United States Immigrant Visa System for the 21st Century,Memorandum for the Heads of Executive Departments and Agencies,Modernizing and Streamlining the U.S. Immigrant Visa System for the 21st Century,"Communications to Federal Agencies : U.S. immigrant visa system, modernization and streamlining efforts, memorandum","Immigration and naturalization : Visa policy, U.S.",Barack Obama,"November 21, 2014","11:15 a.m., November 25, 2014",201400881
1281,Memorandum on Creating Welcoming Communities and Fully Integrating Immigrants and Refugees,Memorandum for the Heads of Executive Departments and Agencies,Creating Welcoming Communities and Fully Integrating Immigrants and Refugees,"Communications to Federal Agencies : Immigrants and refugees, welcoming communities and full integration, memorandum","Government organization and employees : Federal programs, improvement efforts; Immigration and naturalization : American ""melting pot""; Immigration and naturalization : Citizenship; Immigration and naturalization : Reform.",Barack Obama,"November 21, 2014","11:15 a.m., November 25, 2014",201400882
